"Model","auc_roc","cv_mean","cv_std","evs","f1_score","intercept","mae","mse","n_leaves","precision","recall","rmse","test_accuracy","test_cost","test_log_likelihood","test_r2","train_accuracy","train_cost","train_log_likelihood","train_r2","tree_depth"
"decision_tree","0.550937","0.657750","0.005668",,"0.747283",,,,28,"0.630734","0.916667",,"0.628000","10.278747","-2652.578027",,"0.680500","8.828118","-10941.884362",,5
"lightgbm","0.592496","0.661251","0.001758",,"0.751575",,,,,"0.647768","0.895000",,"0.645000","0.657108","-534.061533",,"0.669500","0.648051","-2154.459026",,
"linear_regression",,"0.046857","0.008816","0.029976",,"0.586549","0.463449","0.232916",,,,"0.482614",,"0.232916","-690.400733","0.029515",,"0.228086","-2719.685539","0.049644",
"logistic_regression","0.592467","0.663000","0.005842",,"0.749648",,,,,"0.648418","0.888333",,"0.644000","0.657189","-657.188907",,"0.665750","0.647968","-2591.873396",,
"random_forest","0.614708","0.652747","0.010930",,"0.773210",,,,,"0.642070","0.971667",,"0.658000","0.748158","-302.025206",,"0.730000","0.508471","-1355.276380",,
"svm","0.593217","0.599999","0.002606",,"0.750000",,,,,"0.600000","1.000000",,"0.600000","0.712571","-313.873111",,"0.600000","0.712459","-1255.635346",,
"xgboost","0.592496","0.661251","0.001758",,"0.751575",,,,,"0.647768","0.895000",,"0.645000","0.657108","-534.061533",,"0.669500","0.648051","-2154.459026",,
